BW: Transaction Key;Reason for Mvt.;Order Type;Technical Movement/r;Movement Area;Sort Area Movement;Sort Area Movement;Material Movement -;Movement Reason Desc;Sort area industrial;IPM Movement Nature;Consum. w/o order
005;9014;;705;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
005;9014;;707;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
005;9014;ZP20;701;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;X
005;9014;ZP20;703;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
005;9014;ZP20;705;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
005;9014;ZP20;707;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
005;9015;;701;DISPONIBLE;1;111;ACHAT;;600;STK_DISCREPANCY;X
005;9015;;707;DISPONIBLE;1;111;ACHAT;;600;STK_DISCREPANCY;
006;0000;;561;DISPONIBLE;1;100;INIT;;100;INIT_STK;
006;0000;;562;DISPONIBLE;1;100;INIT;;100;INIT_STK;
010;0000;;301;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;302;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;303;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;304;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;309;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;311;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;312;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;313;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;314;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;321;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;322;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;323;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;325;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;326;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;343;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;344;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;349;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;350;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0001;;344;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
100;0000;;201;UTILISATION;2;302;CONSOMMATION;;250;STOCK_LOSS;X
100;0000;;202;UTILISATION;2;302;CONSOMMATION;;900;ZTEC;X
100;0000;;251;UTILISATION;2;211;VENTE;;900;ZTEC;
100;0000;;252;UTILISATION;2;211;VENTE;;900;ZTEC;
100;0000;;453;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
100;0000;;454;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
100;0000;;458;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
100;0000;;459;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
100;0000;;460;UTILISATION;2;190;INTRASITE;;220;CATEGORY_CHANGE;
